Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
5.54,0,0,25.97
,Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
32989.21,2711,352,28.99
32994.28,2134,264,28.99
32999.36,1634,187,28.99
33004.43,1268,132,28.99
33009.50,1242,128,28.54
33014.57,1108,107,28.54
33019.64,1204,122,28.54
33024.71,1088,104,28.09
33029.79,1035,96,28.09
33034.86,1366,147,28.09
33039.93,1225,125,28.09
33045.00,1081,103,28.09
33050.07,1060,100,28.09
33055.14,2369,299,28.54
33060.22,4319,597,28.54
33065.29,1762,207,28.54
33070.37,1323,140,28.54
33075.44,1258,130,28.54
33080.51,1940,234,28.54
33085.58,1790,211,28.54
33090.65,1922,231,28.99
33095.73,3607,488,28.99
33100.80,3512,474,29.43
33105.87,1822,216,29.43
33110.94,3787,515,29.43
33116.01,2471,315,29.43
33121.08,2027,247,29.43
33126.15,2683,347,29.43
33131.22,2765,360,29.43
33136.30,3023,399,29.43
33141.37,2471,315,29.43
33146.44,4086,561,29.43
33151.51,3237,432,29.43
33156.59,4688,653,30.05
33161.66,1940,234,30.05
33166.73,1662,192,29.43
33171.80,1488,165,29.43
33176.87,1385,150,29.43
33181.94,1701,198,29.43
33187.01,3555,480,29.43
33192.09,4752,663,30.05
33197.16,5182,728,30.05
33202.23,5499,776,30.05
33207.30,5750,815,30.05
33212.37,4621,643,30.51
33217.44,2197,273,30.51
33222.51,1870,223,30.51
33227.59,1671,193,30.51
33232.66,1562,177,30.51
33237.73,1397,151,30.05
33242.80,1315,139,30.05
33247.88,2929,385,30.05
33252.95,1689,196,30.05
33258.02,2520,322,30.05
33263.09,1671,193,30.05
33268.16,2801,365,30.05
33273.23,4266,588,30.05
33278.30,2197,273,30.05
33283.37,1574,178,30.05
33288.45,1956,237,30.05
33293.52,3349,449,30.05
33298.59,2114,261,30.51
33303.66,1588,180,30.05
33308.73,3512,474,30.51
33313.80,2015,246,30.05
33318.88,1488,165,30.05
33323.95,1588,180,30.05
33329.02,1437,157,30.05
33334.09,1285,134,30.05
33339.16,1188,120,30.05
33344.23,1108,107,29.43
33349.30,1075,102,29.43
33354.38,1047,98,29.43
33359.45,1008,92,28.99
33364.52,982,88,28.99
33369.60,951,83,28.99
33374.67,1455,160,28.99
33379.74,1162,116,28.99
33384.82,1214,124,28.54
33389.89,1613,184,28.54
33394.96,1415,154,28.54
33400.03,3555,480,28.99
33405.10,2282,286,28.99
33410.18,2027,247,28.99
33415.25,1534,172,28.99
33420.32,2825,369,28.99
33425.39,2282,286,28.99
33430.46,1499,167,28.99
33435.53,3268,436,29.43
33440.61,5110,717,29.43
33445.68,2242,280,29.43
33450.75,2497,319,29.43
33455.82,3787,515,29.43
33460.89,1822,216,29.43
33465.96,1562,177,29.43
33471.04,2394,303,29.43
33476.11,1499,167,29.43
33481.18,1323,140,28.99
33486.25,1258,130,28.99
33491.32,1405,153,28.99
33496.39,1790,211,28.54
33501.47,1173,117,28.54
33506.54,1345,143,28.54
33511.61,1133,111,28.54
33516.68,1068,101,28.54
33521.75,1013,93,28.54
33526.83,998,91,28.54
33531.90,1013,93,28.54
33536.98,1385,150,28.54
33542.05,1047,98,28.54
33547.12,993,90,28.54
33552.19,965,86,28.54
33557.27,1179,118,28.54
33562.34,2416,307,28.54
33567.41,4037,554,28.99
33572.48,4688,653,28.99
33577.55,5750,815,29.43
33582.63,5663,801,29.43
33587.70,2711,352,30.05
33592.77,1841,219,30.05
33597.84,1574,178,29.43
33602.91,1488,165,28.99
33607.98,1618,185,28.99
33613.05,1455,160,28.99
33618.13,3237,432,28.99
33623.20,4752,663,29.43
33628.27,5663,801,29.43
33633.34,5414,763,29.43
33638.41,6757,968,30.05
33643.48,4897,685,30.05
33648.56,2541,326,30.05
33653.63,1890,226,30.05
33658.70,1689,196,29.43
33663.77,2890,379,29.43
33668.85,2711,352,29.43
33673.92,5414,763,29.43
33678.99,2449,312,29.43
33684.06,1890,226,29.43
33689.14,1811,214,29.43
33694.21,1746,205,29.43
33699.28,1437,157,29.43
33704.36,1405,153,29.43
33709.43,1890,226,29.43
33714.50,3930,537,30.05
33719.57,4431,614,30.05
33724.64,1841,219,30.05
33729.71,1689,196,30.05
33734.79,2471,315,30.05
33739.86,3883,530,30.05
33744.93,5262,740,30.05
33750.00,4897,685,30.05
33755.07,3979,545,30.05
33760.14,2027,247,30.05
33765.22,1671,193,30.05
33770.29,3176,422,30.05
33775.36,1701,198,29.43
33780.43,1415,154,29.43
33785.50,1353,145,28.99
33790.57,2216,276,28.54
33795.65,1562,177,28.54
33800.72,1258,130,28.54
33805.79,1173,117,28.09
33810.86,1994,242,28.09
33815.93,1305,137,28.09
33821.01,2096,258,28.09
33826.08,1268,132,28.09
33831.15,1204,122,28.09
33836.22,1268,132,28.09
33841.29,1476,163,28.09
33846.37,1353,145,28.54
33851.44,1524,171,28.54
33856.52,2471,315,28.54
33861.59,3268,436,28.99
33866.66,5110,717,28.99
33871.73,5663,801,28.99
33876.80,2351,297,28.99
33881.87,2197,273,29.43
33886.95,2652,343,29.43
33892.02,1644,189,28.99
33897.09,3268,436,29.43
33902.16,3835,523,29.43
33907.23,4037,554,29.43
33912.30,2890,379,29.43
33917.38,4086,561,30.05
33922.45,4963,695,30.05
33927.52,6350,906,30.05
33932.59,6038,858,30.51
33937.66,6757,968,30.51
33942.73,6454,922,30.51
33947.80,6869,985,30.51
33952.88,5262,740,30.98
33957.95,5353,754,30.98
33963.02,6454,922,30.98
33968.09,6454,922,30.98
33973.16,3314,443,30.98
33978.24,2683,347,30.98
33983.31,2576,331,30.98
33988.38,4086,561,30.98
33993.45,5860,831,30.98
33998.52,5414,763,30.98
34003.60,6647,951,30.98
34008.68,7369,1061,30.98
34013.75,4963,695,30.98
34018.82,6647,951,31.45
34023.89,7369,1061,31.45
34028.96,7626,1100,31.45
34034.03,5499,776,31.45
34039.11,3023,399,31.45
34044.18,2576,331,31.45
34049.25,1975,239,31.45
34054.32,1736,203,31.45
34059.39,1613,184,30.98
34064.46,2929,385,30.98
34069.53,4752,663,30.98
34074.61,3835,523,31.45
34079.68,6038,858,31.45
34084.75,2027,247,30.98
34089.82,3835,523,30.98
34094.89,2992,394,30.98
34099.97,1717,200,30.98
34105.04,1777,209,30.98
34110.11,1956,237,30.98
34115.18,1465,162,30.51
34120.25,1323,140,30.51
34125.32,2801,365,30.51
34130.43,4086,561,30.51
34135.50,3645,494,30.51
34140.57,4752,663,30.51
34145.64,4963,695,30.98
34150.71,2711,352,30.98
34155.79,1634,187,30.51
34160.87,1397,151,30.51
34165.94,1315,139,30.51
34171.01,1225,125,30.51
34176.08,1162,116,30.51
34181.15,1127,110,30.51
34186.23,1141,112,30.51
34191.30,1133,111,30.51
34196.38,1081,103,30.51
34201.45,982,88,30.05
34206.52,1075,102,30.05
34211.59,3176,422,30.51
34216.66,3883,530,30.51
34221.73,4504,625,30.51
34226.81,5182,728,30.98
34231.88,2416,307,30.98
34236.95,1841,219,30.98
34242.02,1736,203,30.98
34247.09,1994,242,30.98
34252.16,1613,184,30.98
34257.24,1305,137,30.51
34262.31,1242,128,30.51
34267.38,1455,160,30.51
34272.45,1975,239,30.98
34277.52,1285,134,30.51
34282.59,2416,307,30.51
34287.66,4431,614,30.51
34292.74,5110,717,30.98
34297.81,1746,205,30.51
34302.89,3314,443,30.51
34307.96,4621,643,30.51
34313.03,4688,653,30.51
34318.10,4086,561,30.98
34323.18,2683,347,30.98
34328.25,5262,740,30.98
34333.32,1922,231,30.98
34338.39,2992,394,30.98
34343.46,4621,643,30.98
34348.53,2302,289,30.98
34353.60,1600,182,30.51
34358.68,1922,231,30.51
34363.75,4752,663,30.51
34368.82,1600,182,30.51
34373.89,1550,175,30.05
34378.96,1323,140,30.05
34384.03,1385,150,30.05
34389.10,1689,196,30.05
34394.18,1366,147,29.43
34399.25,1179,118,29.43
34404.32,2683,347,29.43
34409.39,1854,221,29.43
34414.46,2394,303,29.43
34419.53,1375,148,29.43
34424.61,2825,369,29.43
34429.68,4086,561,29.43
34434.75,5414,763,30.05
34439.82,4319,597,30.05
34444.89,2416,307,30.05
34449.96,1854,221,30.05
34455.04,4037,554,30.05
34460.11,4816,672,30.05
34465.18,3645,494,30.51
34470.25,1922,231,30.05
34475.32,3023,399,30.51
34480.40,4963,695,30.51
34485.47,1975,239,30.05
34490.54,2078,255,30.51
34495.61,2801,365,30.05
34500.69,1689,196,30.05
34505.76,1366,147,30.05
34510.83,1249,129,29.43
34515.90,1662,192,30.05
34520.97,2683,347,30.05
34526.05,1613,184,29.43
34531.12,3645,494,29.43
34536.19,1488,165,29.43
34541.26,1366,147,29.43
34546.33,1214,124,29.43
34551.40,1488,165,29.43
34556.48,1147,113,29.43
34561.55,1068,101,29.43
34566.62,1600,182,28.99
34571.69,3268,436,29.43
34576.76,1811,214,29.43
34581.84,1550,175,28.99
34586.91,2683,347,29.43
34591.98,1994,242,29.43
34597.05,3930,537,29.43
34602.12,5030,705,30.05
34607.20,2497,319,30.05
34612.27,1634,187,30.05
34617.34,1366,147,29.43
34622.41,1268,132,29.43
34627.49,2416,307,29.43
34632.56,1353,145,28.99
34637.63,1922,231,29.43
34642.70,4037,554,29.43
34647.77,5663,801,29.43
34652.85,3349,449,29.43
34657.92,2158,267,29.43
34662.99,1671,193,29.43
34668.06,3883,530,30.05
34673.13,2992,394,30.05
34678.20,1618,185,29.43
34683.27,1397,151,29.43
34688.35,1249,129,29.43
34693.42,1689,196,28.99
34698.49,3607,488,28.99
34703.56,1762,207,28.99
34708.64,3645,494,28.99
34713.71,1746,205,28.99
34718.78,1588,180,28.99
34723.85,3064,405,28.99
34728.92,4372,605,28.99
34733.99,2497,319,28.99
34739.07,1550,175,28.99
34744.14,1323,140,28.54
34749.21,2078,255,28.54
34754.28,3176,422,28.54
34759.35,3512,474,28.54
34764.43,2992,394,28.54
34769.50,5182,728,28.54
34774.57,6134,873,28.99
34779.64,6647,951,28.99
34784.72,7112,1022,29.43
34789.79,3134,416,28.99
34794.86,1956,237,28.99
34799.93,4037,554,28.99
34805.00,4816,672,28.99
34810.08,4564,634,28.99
34815.15,6350,906,29.43
34820.22,2992,394,28.99
34825.29,1634,187,28.99
34830.36,1455,160,28.54
34835.44,1428,156,28.54
34840.51,3176,422,28.99
34845.58,2134,264,28.99
34850.65,3176,422,28.99
34855.72,2929,385,28.99
34860.79,1600,182,28.99
34865.86,1428,156,28.99
34870.94,1315,139,28.99
34876.01,1662,192,28.99
34881.08,1162,116,28.99
34886.15,1488,165,28.99
34891.22,1345,143,28.99
34896.29,2416,307,29.43
34901.37,2497,319,29.43
34906.44,1644,189,29.43
34911.51,2078,255,29.43
34916.59,3430,461,29.43
34921.66,3979,545,29.43
34926.73,1634,187,29.43
34931.80,2078,255,29.43
34936.88,2394,303,29.43
34941.95,1811,214,29.43
34947.02,1562,177,29.43
34952.09,1278,133,28.99
34957.16,1509,168,28.99
34962.23,2416,307,29.43
34967.31,1499,167,29.43
34972.38,1214,124,29.43
34977.45,1600,182,29.43
34982.52,3176,422,29.43
34987.59,1509,168,29.43
34992.66,1428,156,29.43
34997.74,1811,214,29.43
35002.81,3134,416,30.05
35007.88,3607,488,30.05
35012.95,1811,214,30.05
35018.03,1405,153,30.05
35023.10,1397,151,30.05
35028.17,1841,219,30.05
35033.24,1940,234,30.05
35038.31,1225,125,30.05
35043.39,2216,276,30.05
35048.46,1323,140,30.05
35053.53,1127,110,29.43
35058.60,1060,100,29.43
35063.67,1613,184,29.43
35068.74,1094,105,29.43
35073.82,1094,105,28.99
35078.89,3134,416,28.99
35083.96,1116,109,28.54
35089.04,2078,255,28.54
35094.11,3134,416,28.99
35099.18,4688,653,28.99
35104.25,1509,168,28.54
35109.32,1323,140,28.99
35114.39,3101,411,28.99
35119.46,1499,167,28.99
35124.54,1671,193,28.99
35129.61,2174,270,28.99
35134.68,1232,126,28.54
35139.75,2114,261,28.54
35144.82,2134,264,28.54
35149.90,1323,140,28.54
35154.97,1127,110,28.54
35160.04,1060,100,28.54
35165.11,1249,129,28.54
35170.18,1162,116,28.54
35175.25,1013,93,28.99
35180.32,975,87,28.99
35185.40,928,80,28.54
35190.47,901,76,28.54
35195.54,1179,118,28.99
35200.61,1323,140,28.99
35205.68,1008,92,28.54
35210.75,1295,136,28.54
35215.82,2197,273,28.54
35220.89,1323,140,28.54
35225.98,1600,182,28.54
35231.05,1108,107,28.54
35236.12,982,88,28.09
35241.19,941,82,28.09
35246.26,2369,299,28.54
35251.34,3237,432,28.54
35256.41,3101,411,28.54
35261.48,2158,267,28.54
35266.55,3835,523,28.99
35271.62,3430,461,28.99
35276.69,1736,203,28.99
35281.76,1405,153,28.99
35286.84,2598,334,28.99
35291.91,2242,280,28.99
35296.98,1397,151,28.99
35302.05,1204,122,28.54
35307.12,1315,139,28.09
35312.19,3134,416,28.54
35317.26,4816,672,28.54
35322.33,5587,790,28.54
35327.41,2242,280,28.54
35332.48,1550,175,28.54
35337.55,1455,160,28.99
35342.62,2242,280,28.99
35347.69,5110,717,28.99
35352.77,5951,845,28.99
35357.84,3691,501,29.43
35362.91,1717,200,28.99
35367.98,1488,165,28.99
35373.05,1338,142,28.99
35378.12,3314,443,28.99
35383.20,4688,653,28.99
35388.27,2351,297,29.43
35393.34,1509,168,28.99
35398.41,1323,140,28.99
35403.48,1278,133,28.99
35408.56,1777,209,28.99
35413.63,2174,270,28.99
35418.70,4963,695,28.99
35423.77,1922,231,28.99
35428.84,1762,207,29.43
35433.91,4086,561,29.43
35438.99,1671,193,29.43
35444.06,1345,143,29.43
35449.13,1644,189,28.99
35454.20,1811,214,29.43
35459.27,1736,203,29.43
35464.35,1249,129,29.43
35469.42,1156,115,29.43
35474.49,1278,133,29.43
35479.56,1428,156,29.43
35484.63,2739,356,29.43
35489.70,4621,643,29.43
35494.77,2324,293,29.43
35499.84,3555,480,29.43
35504.92,5110,717,30.05
35509.99,4688,653,30.05
35515.06,3741,508,30.05
35520.13,2471,315,30.05
35525.20,5030,705,30.05
35530.27,5182,728,30.51
35535.35,3512,474,30.51
35540.43,3607,488,30.51
35545.50,4154,571,30.51
35550.57,5951,845,30.51
35555.64,4037,554,30.51
35560.71,4963,695,30.51
35565.79,5499,776,30.98
35570.86,6454,922,30.98
35575.93,7250,1043,30.98
35581.00,6134,873,30.98
35586.07,3645,494,30.98
35591.14,2961,390,30.98
35596.21,2114,261,30.98
35601.29,1562,177,30.98
35606.36,2174,270,30.51
35611.43,2598,334,30.05
35616.50,1689,196,30.05
35621.57,2652,343,30.05
35626.64,2625,338,30.05
35631.71,1455,160,30.05
35636.79,1777,209,30.05
35641.86,1746,205,30.05
35646.93,1315,139,30.05
35652.00,1188,120,30.05
35657.07,1133,111,29.43
35662.14,1188,120,30.05
35667.21,1088,104,30.05
35672.29,1040,97,30.05
35677.36,1214,124,30.05
35682.43,1366,147,30.05
35687.50,2027,247,30.05
35692.58,3430,461,30.05
35697.65,4621,643,30.51
35702.72,4752,663,30.51
35707.79,2078,255,30.51
35712.86,1689,196,30.51
35717.93,2197,273,30.51
35723.01,2860,374,30.51
35728.08,3930,537,30.51
35733.15,1890,226,30.98
35738.22,2497,319,30.51
35743.29,3237,432,30.51
35748.37,1588,180,30.51
35753.44,2625,338,30.51
35758.51,3930,537,30.51
35763.58,5663,801,30.51
35768.65,6249,891,30.98
35773.72,4431,614,30.98
35778.80,2625,338,30.98
35783.87,3430,461,30.98
35788.94,5750,815,30.98
35794.01,6454,922,30.98
35799.08,2890,379,30.98
35804.15,3512,474,30.98
35809.22,5353,754,30.98
35814.30,5951,845,30.98
35819.37,2929,385,30.98
35824.44,1662,192,30.98
35829.51,1428,156,30.51
35834.58,1428,156,30.05
35839.65,1618,185,30.05
35844.73,1618,185,29.43
35849.80,2015,246,29.43
35854.87,1258,130,28.99
35859.94,3691,501,29.43
35865.02,1375,148,29.43
35870.09,1353,145,28.99
35875.16,1179,118,28.99
35880.23,1644,189,28.99
35885.30,4210,580,28.99
35890.37,4816,672,29.43
35895.44,1956,237,29.43
35900.52,1405,153,28.99
35905.59,1315,139,28.99
35910.66,2711,352,29.43
35915.73,4319,597,29.43
35920.80,5663,801,29.43
35925.87,6454,922,30.05
35930.95,5860,831,30.05
35936.02,4897,685,30.05
35941.09,2992,394,30.05
35946.16,1922,231,30.05
35951.23,3064,405,30.05
35956.30,5951,845,30.05
35961.38,2027,247,29.43
35966.45,1618,185,29.43
35971.52,1375,148,29.43
35976.59,1822,216,29.43
35981.66,1415,154,29.43
35986.73,1870,223,29.43
35991.81,2992,394,30.05
35996.88,3835,523,30.05
36001.96,3555,480,30.05
36007.03,4752,663,30.05
36012.10,5750,815,30.51
36017.17,3645,494,30.51
36022.24,5414,763,30.51
36027.31,5499,776,30.51
36032.39,3607,488,30.51
36037.46,4816,672,30.51
36042.53,6454,922,30.98
36047.60,6757,968,30.98
36052.67,7112,1022,30.98
36057.75,7490,1080,30.98
36062.82,7626,1100,30.98
36067.89,7768,1122,30.98
36072.96,7907,1143,30.98
36078.04,7626,1100,31.45
36083.11,7992,1156,31.45
36088.18,7992,1156,31.45
36093.25,5110,717,31.45
36098.32,6647,951,31.45
36103.39,7490,1080,31.45
36108.46,7768,1122,31.94
36113.54,6134,873,31.94
36118.61,2860,374,31.94
36123.68,2324,293,31.45
36128.75,1870,223,31.45
36133.82,1618,185,31.45
36138.89,1405,153,31.45
36143.96,1295,136,30.98
36149.04,3101,411,31.45
36154.11,4621,643,31.45
36159.18,3741,508,30.98
36164.26,1562,177,30.98
36169.33,1323,140,30.98
36174.40,1762,207,30.98
36179.47,3314,443,30.98
36184.54,4504,625,30.98
36189.61,3023,399,31.45
36194.69,2471,315,30.98
36199.76,1345,143,30.98
36204.83,2929,385,30.98
36209.90,2302,289,30.98
36214.97,4431,614,30.98
36220.05,2324,293,30.98
36225.12,1509,168,30.98
36230.19,2282,286,30.98
36235.26,1736,203,30.98
36240.33,3835,523,30.98
36245.40,1437,157,30.51
36250.48,3134,416,30.51
36255.55,2449,312,30.51
36260.62,1397,151,30.51
36265.69,1156,115,30.05
36270.77,2369,299,30.05
36275.84,4504,625,30.05
36280.91,5587,790,30.51
36285.98,3023,399,30.51
36291.05,1550,175,30.51
36296.12,1437,157,30.51
36301.20,1198,121,30.51
36306.27,1509,168,30.51
36311.34,1116,109,30.51
36316.41,1736,203,30.51
36321.49,3023,399,30.51
36326.56,1476,163,30.51
36331.63,1156,115,30.05
36336.70,1249,129,30.05
36341.77,1524,171,30.05
36346.84,2242,280,30.05
36351.91,1437,157,30.05
36356.98,1103,107,29.43
36362.06,1975,239,30.05
36367.13,3883,530,30.05
36372.20,3101,411,30.05
36377.27,1315,139,30.05
36382.34,2825,369,30.05
36387.41,5030,705,30.05
36392.48,2114,261,30.05
36397.55,4431,614,30.05
36402.63,5860,831,30.05
36407.70,2027,247,30.05
36412.77,1465,162,30.05
36417.84,4210,580,30.05
36422.91,1476,163,30.05
36427.98,1249,129,29.43
36433.06,1305,137,29.43
36438.13,2174,270,30.05
36443.20,1736,203,30.05
36448.27,1905,229,30.05
36453.34,4564,634,30.05
36458.41,3979,545,30.05
36463.49,1315,139,30.05
36468.56,2541,326,30.05
36473.64,1746,205,30.05
36478.71,1574,178,29.43
36483.78,1127,110,29.43
36488.85,1019,94,28.99
36493.92,957,84,28.99
36499.00,933,81,28.54
36504.07,1305,137,28.99
36509.14,2416,307,28.99
36514.21,2351,297,29.43
36519.28,3023,399,29.43
36524.35,4037,554,30.05
36529.43,3023,399,30.05
36534.50,2652,343,30.05
36539.57,2541,326,30.05
36544.64,2242,280,30.05
36549.71,1790,211,30.51
36554.78,3555,480,30.05
36559.85,5110,717,30.51
36564.93,5860,831,30.51
36570.00,6134,873,30.51
36575.07,6350,906,30.98
36580.14,6536,934,30.98
36585.21,2394,303,30.98
36590.29,2416,307,30.51
36595.36,2282,286,30.51
36600.43,1488,165,30.51
36605.50,3134,416,30.51
36610.57,4266,588,30.51
36615.64,5750,815,30.98
36620.72,5860,831,30.98
36625.79,6134,873,30.98
36630.86,6757,968,30.98
36635.93,1841,219,30.98
36641.01,1600,182,30.98
36646.08,1588,180,30.98
36651.15,2416,307,30.98
36656.22,1975,239,30.98
36661.29,1662,192,30.98
36666.36,2114,261,30.98
36671.44,1870,223,30.98
36676.51,1278,133,30.51
36681.58,1225,125,30.51
36686.65,2302,289,30.51
36691.72,2096,258,30.51
36696.80,1285,134,30.51
36701.87,1103,107,30.51
36706.94,1040,97,30.05
36712.01,1550,175,30.05
36717.08,3645,494,30.05
36722.15,4752,663,30.51
36727.23,3883,530,30.51
36732.30,6350,906,30.98
36737.37,5663,801,30.98
36742.44,6249,891,30.98
36747.51,4621,643,30.98
36752.58,5353,754,31.45
36757.66,4431,614,31.45
36762.73,5750,815,31.45
36767.80,5951,845,31.45
36772.87,4431,614,31.45
36777.95,4752,663,31.45
36783.02,2216,276,31.45
36788.09,3787,515,31.45
36793.16,5750,815,31.45
36798.23,3101,411,31.45
36803.31,1746,205,31.45
36808.38,1499,167,31.45
36813.45,1415,154,31.45
36818.52,1258,130,30.98
36823.60,1488,165,31.45
36828.67,1634,187,31.45
36833.74,1499,167,31.45
36838.81,2134,264,30.98
36843.88,2961,390,31.45
36848.95,2096,258,31.45
36854.03,1854,221,31.45
36859.10,2711,352,31.45
36864.17,3476,468,31.45
36869.24,3314,443,31.45
36874.31,1618,185,30.98
36879.38,2541,326,30.98
36884.45,2576,331,30.98
36889.53,3691,501,30.98
36894.60,2394,303,30.98
36899.67,1956,237,30.98
36904.75,3645,494,30.98
36909.82,1975,239,30.51
36914.89,3176,422,30.51
36919.96,2992,394,30.98
36925.04,1890,226,30.98
36930.11,1323,140,30.51
36935.18,1701,198,30.51
36940.25,1790,211,30.51
36945.32,1415,154,30.05
36950.39,1188,120,30.05
36955.47,2449,312,30.05
36960.54,1162,116,30.05
36965.61,1905,229,30.05
36970.68,1075,102,29.43
36975.75,2078,255,29.43
36980.83,2242,280,29.43
36985.90,1232,126,29.43
36990.97,1890,226,29.43
36996.05,1499,167,29.43
37001.12,1108,107,29.43
37006.19,1008,92,29.43
37011.26,957,84,29.43
37016.33,933,81,29.43
37021.40,1127,110,29.43
37026.47,957,84,29.43
37031.55,2652,343,29.43
37036.62,3023,399,29.43
37041.69,1232,126,28.99
37046.76,1019,94,28.99
37051.83,1671,193,28.99
37056.90,2739,356,28.99
37061.98,1278,133,28.99
37067.05,1116,109,28.99
37072.12,2015,246,28.99
37077.19,1127,110,28.99
37082.27,1127,110,28.99
37087.34,1225,125,28.99
37092.41,1081,103,29.43
37097.48,1268,132,29.43
37102.55,2739,356,29.43
37107.63,3476,468,29.43
37112.70,3979,545,30.05
37117.77,3134,416,30.05
37122.84,4504,625,30.05
37127.91,1488,165,30.05
37132.98,1736,203,30.05
37138.06,1613,184,29.43
37143.13,2890,379,29.43
37148.20,1550,175,29.43
37153.27,1162,116,28.99
37158.34,1060,100,28.99
37163.41,1268,132,28.99
37168.48,1662,192,28.99
37173.56,1588,180,28.99
37178.63,1437,157,28.54
37183.70,3349,449,28.54
37188.77,3555,480,28.54
37193.84,5353,754,28.99
37198.91,5587,790,28.99
37203.99,2625,338,28.99
37209.06,4431,614,29.43
37214.13,6134,873,29.43
37219.20,4752,663,29.43
37224.27,2078,255,29.43
37229.35,1455,160,29.43
37234.42,2302,289,29.43
37239.50,1562,177,29.43
37244.57,2765,360,29.43
37249.64,1385,150,29.43
37254.71,3741,508,29.43
37259.78,2096,258,29.43
37264.86,2711,352,29.43
37269.93,4372,605,29.43
37275.00,1353,145,29.43
37280.07,1204,122,29.43
37285.14,1075,102,29.43
37290.21,998,91,28.99
37295.29,2598,334,29.43
37300.36,3430,461,29.43
37305.43,2520,322,29.43
37310.50,4816,672,29.43
37315.57,5663,801,29.43
37320.65,2739,356,30.05
37325.72,1562,177,29.43
37330.79,1242,128,29.43
37335.86,1173,117,29.43
37340.93,3314,443,29.43
37346.00,2576,331,29.43
37351.07,1278,133,29.43
37356.15,1116,109,29.43
37361.22,1613,184,29.43
37366.29,3691,501,29.43
37371.36,5414,763,29.43
37376.43,5951,845,30.05
37381.50,4816,672,30.05
37386.57,5860,831,30.05
37391.65,2497,319,30.05
37396.72,1890,226,30.05
37401.80,3101,411,30.05
37406.87,2739,356,30.05
37411.94,4319,597,30.51
37417.01,2174,270,30.05
37422.09,3741,508,30.05
37427.16,5860,831,30.51
37432.23,3314,443,30.05
37437.30,4752,663,30.05
37442.37,3835,523,30.51
37447.44,4963,695,30.51
37452.51,1790,211,30.05
37457.59,1534,172,30.05
37462.66,1524,171,29.43
37467.73,3883,530,30.05
37472.80,4816,672,30.05
37477.87,2929,385,30.05
37482.94,1634,187,30.05
37488.02,4372,605,30.05
37493.09,5414,763,30.05
37498.16,6454,922,30.05
37503.23,2890,379,30.05
37508.30,5750,815,30.51
37513.39,5499,776,30.51
37518.46,1701,198,30.05
37523.53,1428,156,30.05
37528.60,1338,142,30.05
37533.67,1905,229,29.43
37538.75,3134,416,29.43
37543.82,2216,276,29.43
37548.89,2324,293,29.43
37553.96,2242,280,30.05
37559.04,1956,237,30.05
37564.11,3349,449,30.05
37569.18,1323,140,29.43
37574.25,1994,242,29.43
37579.32,3268,436,29.43
37584.39,3512,474,28.99
37589.47,2114,261,29.43
37594.54,2929,385,29.43
37599.61,2860,374,29.43
37604.68,4564,634,29.43
37609.75,1338,142,28.99
37614.82,2158,267,29.43
37619.90,3787,515,29.43
37624.97,2369,299,29.43
37630.04,3176,422,29.43
37635.12,4752,663,30.05
37640.19,5951,845,30.05
37645.26,6454,922,30.05
37650.33,5587,790,30.51
37655.40,2860,374,30.51
37660.47,2449,312,30.51
37665.55,3607,488,30.51
37670.62,2216,276,30.51
37675.69,1689,196,30.51
37680.76,1811,214,30.51
37685.83,2134,264,30.51
37690.91,1534,172,30.51
37695.98,2825,369,30.05
37701.05,3512,474,30.05
37706.12,5414,763,30.05
37711.20,5414,763,30.51
37716.27,3555,480,30.51
37721.34,2825,369,30.51
37726.41,4897,685,30.51
37731.49,5587,790,30.51
37736.56,3512,474,30.51
37741.63,4897,685,30.98
37746.70,5663,801,30.51
37751.77,4154,571,30.51
37756.84,4621,643,30.98
37761.92,1870,223,30.51
37766.99,2711,352,30.51
37772.06,4564,634,30.98
37777.13,5750,815,30.98
37782.20,6350,906,30.98
37787.27,6249,891,30.98
37792.35,6038,858,31.45
37797.42,2351,297,30.98
37802.49,4372,605,31.45
37807.56,6249,891,30.98
37812.63,6249,891,31.45
37817.70,7250,1043,31.45
37822.78,7250,1043,31.45
37827.85,3555,480,31.45
37832.93,5110,717,31.45
37838.00,5182,728,31.45
37843.07,2497,319,31.45
37848.14,1905,229,31.45
37853.22,1905,229,31.45
37858.29,3237,432,31.45
37863.36,2158,267,31.45
37868.43,2078,255,31.45
37873.50,1315,139,30.98
37878.57,1147,113,30.98
37883.65,1315,139,30.51
37888.72,1075,102,30.51
37893.79,975,87,30.51
37898.86,921,79,30.51
37903.93,1040,97,30.51
37909.00,2242,280,30.51
37914.08,2860,374,30.51
37919.15,1841,219,30.51
37924.22,3787,515,30.51
37929.30,4963,695,30.51
37934.37,1671,193,30.51
37939.44,1717,200,30.51
37944.51,3555,480,30.51
37949.58,5262,740,30.98
37954.65,1854,221,30.51
37959.73,2158,267,30.51
37964.80,4086,561,30.51
37969.87,5499,776,30.98
37974.94,5182,728,30.51
37980.01,6647,951,30.98
37985.09,4266,588,30.98
37990.16,2015,246,30.51
37995.23,1634,187,30.51
38000.30,1524,171,30.51
38005.38,1671,193,30.05
38010.45,2497,319,30.51
38015.52,4504,625,30.51
38020.59,3930,537,30.51
