Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
5.54,0,0,25.97
,Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
2190.66,754,53,17.61
2195.73,795,60,17.61
2200.80,630,35,17.61
2205.87,795,60,17.61
2210.94,1400,152,17.61
2216.01,1136,112,17.61
2221.08,817,63,17.61
2226.15,681,42,17.61
2231.22,637,36,17.61
2236.29,625,34,17.61
2241.36,617,33,17.27
2246.43,974,87,17.27
2251.50,630,35,17.27
2256.57,603,30,17.27
2261.64,594,29,17.27
2266.71,575,26,17.27
2271.78,696,45,17.27
2276.85,600,30,17.27
2281.92,578,27,17.61
2287.00,821,64,17.61
2292.06,590,28,17.61
2297.14,681,42,17.61
2302.21,817,63,17.61
2307.28,1183,119,17.61
2312.35,2272,285,17.95
2317.42,1206,122,17.95
2322.49,763,55,17.61
2327.56,681,42,17.61
2332.63,675,41,17.61
2337.70,2140,265,17.95
2342.77,787,58,17.95
2347.84,855,69,17.61
2352.91,706,46,17.61
2357.98,650,38,17.61
2363.05,643,37,17.61
2368.12,719,48,17.61
2373.19,617,33,17.61
2378.26,575,26,17.61
2383.33,561,24,17.61
2388.40,542,21,17.61
2393.54,643,37,17.61
2398.61,561,24,17.61
2403.68,561,24,17.61
2408.75,561,24,17.27
2413.82,526,19,17.61
2418.89,502,15,17.27
2423.96,492,14,17.61
2429.03,763,55,17.61
2434.10,2253,282,17.61
2439.17,4688,653,17.95
2444.24,3482,469,17.95
2449.31,2420,307,18.29
2454.46,4688,653,18.29
2459.52,1600,182,18.29
2464.59,1060,100,18.29
2469.66,1082,103,18.29
2474.73,889,74,18.29
2479.80,795,60,18.29
2484.87,763,55,18.29
2489.94,719,48,18.29
2495.01,669,40,18.29
2500.08,643,37,17.95
2505.15,685,43,17.95
2510.22,889,74,17.95
2515.29,647,37,17.61
2520.36,584,28,17.61
2525.43,565,25,17.27
2530.50,552,23,17.27
2535.57,542,21,17.27
2540.64,565,25,17.61
2545.71,542,21,17.61
2550.78,529,19,17.27
2555.85,529,19,17.27
2560.92,516,17,17.27
2565.99,526,19,17.27
2571.06,538,21,17.27
2576.13,1553,175,17.27
2581.20,1354,145,17.61
2586.27,889,74,17.61
2591.34,681,42,17.61
2596.41,647,37,17.61
2601.48,647,37,17.61
2606.55,787,58,17.61
2611.61,1029,95,17.61
2616.69,830,65,17.61
2621.75,656,39,17.61
2626.82,620,33,17.61
2631.89,600,30,17.61
2636.96,575,26,17.61
2642.03,561,24,17.61
2647.10,617,33,17.61
2652.17,554,23,17.27
2657.24,523,18,17.27
2662.31,508,16,17.27
2667.38,492,14,17.27
2672.45,490,13,17.27
2677.52,486,13,17.27
2682.59,483,12,17.27
2687.66,478,11,17.27
2692.73,465,9,17.27
2697.80,465,9,17.27
2702.87,465,9,17.27
2707.94,471,10,17.27
2713.01,478,11,17.27
2718.08,471,10,17.27
2723.15,643,37,17.27
2728.22,665,40,17.27
2733.29,542,21,17.27
2738.35,516,17,17.27
2743.43,502,15,16.94
2748.50,495,14,17.27
2753.56,534,20,16.94
2758.63,508,16,16.94
2763.70,806,61,16.94
2768.77,542,21,16.94
2773.84,795,60,16.94
2778.91,941,82,16.94
2783.98,603,30,16.94
2789.05,554,23,16.94
2794.12,542,21,16.94
2799.19,538,21,16.94
2804.26,529,19,17.27
2809.33,650,38,17.27
2814.40,630,35,17.27
2819.47,554,23,17.27
2824.54,620,33,17.27
2829.61,719,48,17.27
2834.68,1499,167,17.27
2839.75,830,65,17.27
2844.81,763,55,17.27
2849.89,1658,191,17.27
2854.95,1156,115,17.27
2860.02,1147,113,17.27
2865.09,1045,98,17.61
2870.16,1275,133,17.61
2875.24,897,75,17.61
2880.30,1126,110,17.61
2885.38,1553,175,17.61
2890.44,2445,311,17.95
2895.51,1585,180,17.95
2900.58,2094,258,17.95
2905.65,3116,413,17.95
2910.72,1413,154,18.29
2915.79,2094,258,18.29
2920.86,1678,194,18.29
2925.93,3038,401,18.29
2931.00,2640,341,18.29
2936.07,2919,383,18.29
2941.14,3515,474,18.29
2946.21,1275,133,18.29
2951.28,974,87,18.29
2956.35,930,80,18.29
2961.42,863,70,18.29
2966.49,821,64,18.29
2971.56,774,56,17.95
2976.63,741,51,17.95
2981.70,706,46,17.95
2986.77,665,40,17.95
2991.84,647,37,17.95
2996.91,630,35,17.95
3001.98,1990,242,17.95
3007.05,4218,581,17.95
3012.12,3515,474,17.95
3017.19,1463,161,17.95
3022.25,1328,141,18.29
3027.32,1275,133,18.29
3032.39,1045,98,18.29
3037.46,1013,93,18.29
3042.53,889,74,18.29
3047.60,1206,122,18.29
3052.67,1029,95,18.29
3057.74,855,69,18.29
3062.84,795,60,18.29
3067.91,774,56,17.95
3072.98,741,51,17.95
3078.05,700,45,17.95
3083.12,665,40,17.95
3088.19,647,37,17.95
3093.25,625,34,17.61
3098.32,617,33,17.61
3103.40,620,33,17.61
3108.46,606,31,17.61
3113.53,594,29,17.27
3118.60,584,28,17.27
3123.67,575,26,17.27
3128.74,575,26,17.27
3133.81,571,26,17.27
3138.88,600,30,16.94
3143.95,561,24,16.94
3149.02,552,23,16.94
3154.09,542,21,16.94
3159.16,554,23,16.94
3164.23,578,27,16.94
3169.30,571,26,16.94
3174.36,554,23,17.27
3179.43,542,21,17.27
3184.50,534,20,17.27
3189.57,534,20,17.27
3194.64,529,19,17.27
3199.71,534,20,17.27
3204.78,542,21,17.27
3209.85,552,23,17.27
3214.92,547,22,17.27
3219.99,534,20,17.27
3225.06,529,19,16.94
3230.13,526,19,16.94
3235.20,538,21,17.27
3240.26,606,31,17.27
3245.33,538,21,17.27
3250.40,534,20,17.27
3255.47,529,19,16.94
3260.54,523,18,16.94
3265.61,508,16,16.94
3270.68,516,17,16.94
3275.75,526,19,17.27
3280.81,523,18,17.27
3285.88,516,17,17.27
3290.95,505,15,17.27
3296.02,502,15,17.27
3301.09,495,14,17.27
3306.16,505,15,17.27
3311.23,538,21,17.27
3316.30,685,43,17.27
3321.37,565,25,17.27
3326.44,547,22,17.27
3331.51,542,21,17.27
3336.58,538,21,17.27
3341.65,542,21,17.27
3346.72,538,21,17.27
3351.79,538,21,17.27
3356.86,529,19,17.27
3361.93,529,19,17.27
3367.00,505,15,16.94
3372.07,526,19,16.94
3377.14,523,18,16.94
3382.20,516,17,16.94
3387.27,534,20,16.94
3392.34,516,17,16.94
3397.41,523,18,16.94
3402.48,505,15,16.94
3407.55,495,14,16.94
3412.62,490,13,16.94
3417.69,495,14,16.94
3422.76,505,15,16.94
3427.83,516,17,17.27
3432.90,669,40,17.27
3437.97,617,33,17.27
3443.04,578,27,17.27
